Attempts,Scores
1,48
2,29
3,54
4,46
5,50
6,44
7,47
8,60
9,55
10,48
11,42
12,50
13,54
14,42
15,52
16,45
17,42
18,42
19,48
20,46
21,52
22,34
23,48
24,49
25,56
26,55
27,35
28,43
29,57
30,51
31,53
32,48
33,49
34,50
35,53
36,58
37,45
38,56
39,49
40,42
41,53
42,43
43,49
44,52
45,48
46,51
47,44
48,41
49,39
50,57
51,49
52,58
53,52
54,37
55,48
56,41
57,46
58,45
59,45
60,42
61,49
62,55
63,55
64,57
65,62
66,62
67,59
68,58
69,61
70,49
71,52
72,51
73,62
74,60
75,56
76,52
77,60
78,61
79,56
80,44
81,57
82,56
83,57
84,60
85,57
86,59
87,62
88,51
89,63
90,60
91,50
92,57
93,57
94,56
95,47
96,54
97,45
98,62
99,59
100,54
101,60
102,54
103,60
104,60
105,53
106,62
107,57
108,52
109,63
110,61
111,57
112,57
113,61
114,54
115,61
116,64
117,62
118,63
119,69
120,65
121,62
122,69
123,62
124,64
125,65
126,65
127,60
128,66
129,65
130,66
131,69
132,66
133,63
134,64
135,62
136,64
137,73
138,68
139,69
140,76
141,71
142,64
143,61
144,61
145,63
146,62
147,67
148,65
149,64
150,69
151,68
152,64
153,62
154,64
155,63
156,73
157,61
158,60
159,62
160,65
161,64
162,65
163,60
164,66
165,69
166,61
167,64
168,73
169,68
170,80
171,68
172,57
173,72
174,65
175,60
176,66
177,67
178,68
179,61
180,67
181,68
182,72
183,65
184,64
185,71
186,70
187,66
188,64
189,68
190,66
191,71
192,63
193,63
194,64
195,67
196,63
197,65
198,62
199,65
200,66
201,72
202,60
203,74
204,64
205,71
206,67
207,62
208,71
209,66
210,78
211,68
212,66
213,70
214,67
215,68
216,67
217,61
218,73
219,71
220,70
221,73
222,72
223,76
224,69
225,74
226,67
227,67
228,65
229,71
230,68
231,73
232,66
233,74
234,72
235,70
236,67
237,70
238,72
239,69
240,75
241,66
242,67
243,75
244,72
245,75
246,76
247,76
248,74
249,79
250,75
251,73
252,74
253,69
254,68
255,79
256,71
257,67
258,67
259,67
260,71
261,70
262,68
263,72
264,69
265,69
266,73
267,71
268,74
269,77
270,74
271,74
272,75
273,73
274,75
275,74
276,73
277,72
278,69
279,73
280,73
281,75
282,68
283,68
284,69
285,69
286,72
287,73
288,75
289,70
290,74
291,72
292,78
293,70
294,71
295,76
296,77
297,73
298,72
299,77
300,76
301,75
302,76
303,72
304,70
305,73
306,76
307,70
308,77
309,72
310,72
311,77
312,81
313,74
314,76
315,80
316,70
317,76
318,73
319,76
320,76
